distance,sensor,trial,averageSum,x,y,magnitude,movement
2.5,25/75,6,0.134,7,0,7,straight
2.5,25/75,7,0.1552,6.8,0,6.8,straight
2.5,25/75,8,0.145,6.8,0,6.8,straight
2.5,25/75,9,0.1426,6.9,0,6.9,straight
2.5,25/75,10,0.1434,6.9,0,6.9,straight
2.5,50/50,1,0.150204082,6.8,0,6.8,straight
2.5,50/50,2,0.143469388,6.9,0,6.9,straight
2.5,50/50,3,0.134285714,6.8,0,6.8,straight
2.5,50/50,4,0.140612245,6.7,0,6.7,straight
2.5,50/50,5,0.151428571,6.8,0,6.8,straight
2.5,50/50,6,0.149183673,6.9,0,6.9,straight
2.5,50/50,7,0.156938776,6.8,0,6.8,straight
2.5,50/50,8,0.142857143,6.8,0,6.8,straight
2.5,50/50,9,0.126734694,6.9,0,6.9,straight
2.5,50/50,10,0.139183673,6.8,0,6.8,straight
2.5,75/25,1,0.1468,6.8,0,6.8,straight
2.5,75/25,2,0.1462,6.4,0,6.4,straight
2.5,75/25,3,0.131,7,0,7,straight
2.5,75/25,4,0.1462,6.8,0,6.8,straight
2.5,75/25,5,0.142,6.8,0,6.8,straight
2.5,75/25,6,0.1486,6.9,0,6.9,straight
2.5,75/25,7,0.1486,6.8,0,6.8,straight
2.5,75/25,8,0.1404,6.8,0,6.8,straight
2.5,75/25,9,0.1372,6.9,0,6.9,straight
2.5,75/25,10,0.1566,6.8,0,6.8,straight
6.5,25/75,1,0.274,70,59,91.54780172,curve
6.5,25/75,2,0.2806,69,56,88.86506625,curve
6.5,25/75,3,0.2792,69,72,99.72462083,curve
6.5,25/75,4,0.2718,73,74,103.9471019,curve
6.5,25/75,5,0.2674,71,74,102.5524256,curve
6.5,25/75,6,0.2802,74,76.5,106.434252,curve
6.5,25/75,7,0.2678,73,74,103.9471019,curve
6.5,25/75,8,0.2692,74,73,103.9471019,curve
6.5,25/75,9,0.2742,73,74,103.9471019,curve
6.5,25/75,10,0.2724,71,74,102.5524256,curve
